Size,Cycle,Complete,Wheel
2,,0.541,
3,,0.553,
4,0.657,0.57,0.608
5,0.729,0.584,0.637
6,0.759,0.603,0.696
7,0.826,0.583,0.73
8,0.872,0.562,0.765
9,0.909,0.573,0.812
10,0.909,0.624,0.844
11,0.927,0.642,0.863
12,0.954,0.589,0.878
