MaxPrior,Cycle,Complete,Wheel
10,0.843,0.593,0.741
20,0.842,0.627,0.74
30,0.853,0.647,0.742
40,0.84,0.607,0.762
50,0.85,0.629,0.772
60,0.873,0.625,0.772
70,0.854,0.605,0.769
80,0.869,0.646,0.797
90,0.879,0.631,0.777
100,0.868,0.64,0.797
