MaxPrior,Cycle,Complete,Wheel
1000,0.975,0.935,0.966
2000,0.992,0.981,0.981
3000,0.994,0.982,0.992
4000,0.991,0.989,0.992
5000,0.996,0.987,0.993
6000,0.991,0.99,0.991
7000,0.985,0.987,0.989
8000,0.987,0.985,0.994
9000,0.98,0.992,0.981
10000,0.985,0.989,0.983
