MaxPrior,Cycle,Complete,Wheel
100,0.888,0.682,0.782
200,0.911,0.697,0.829
300,0.917,0.77,0.88
400,0.944,0.834,0.887
500,0.963,0.844,0.924
600,0.962,0.886,0.932
700,0.978,0.895,0.934
800,0.974,0.921,0.958
900,0.981,0.92,0.966
1000,0.978,0.935,0.97
